Year,Tournament,tournament
2020,3M Open,2020_3m_open
2020,The Genesis Invitational,2020_genesis_invitational
2020,RBC Heritage,2020_rbc_heritage
2020,Safeway Open,2020_safeway_open
2020,Sanderson Farms Championship,2020_sanderson_farms_championship
2020,The RSM Classic,2020_the_rsm_classic
2020,Wyndham Championship,2020_wyndham_championship
2021,Farmers Insurance Open,2021_farmers_insurance_open
2021,Sony Open in Hawaii,2021_sony_open
2021,World Golf Championships-Workday Championship at The Concession,2021_wgc_concession
2020,Mayakoba Golf Classic,2020_mayakoba_golf_classic
2020,Houston Open,2020_houston_open
2020,Shriners Hospitals for Children Open,2020_shriners_hospitals_for_children_open
2021,The Honda Classic,2021_the_honda_classic
2021,THE PLAYERS Championship,2021_the_players_championship
2021,Waste Management Phoenix Open,2021_waste_management_phoenix_open
2020,BMW Championship,2020_bmw_championship
2020,PGA Championship,2020_pga_championship
2020,THE CJ CUP @ NINE BRIDGES,2020_the_cj_cup
2020,the Memorial Tournament presented by Nationwide,2020_the_memorial_tournament
2020,THE NORTHERN TRUST,2020_the_northern_trust
2020,ZOZO CHAMPIONSHIP,2020_the_zozo_championship
2020,TOUR Championship,2020_tour_championship
2020,World Golf Championships-FedEx St. Jude Invitational,2020_wgc_fedex_st_jude_invitational
2021,The Genesis Invitational,2021_genesis_invitational
2021,Sentry Tournament of Champions,2021_sentry_tournament_of_champions
2021,The American Express,2021_the_american_express
