player,Tournament,winnings,year,avg_driving_distance,tournament
Michael Thompson,3M Open,"$1,188,000",2020,283.7,2020_3m_open
Adam Long,3M Open,"$719,400",2020,290.3,2020_3m_open
Max Homa,3M Open,"$250,800",2020,301.1,2020_3m_open
Cameron Tringale,3M Open,"$250,800",2020,295.4,2020_3m_open
Robby Shelton,3M Open,"$250,800",2020,289.5,2020_3m_open
Richy Werenski,3M Open,"$250,800",2020,289.0,2020_3m_open
Charles Howell III,3M Open,"$250,800",2020,296.1,2020_3m_open
Charl Schwartzel,3M Open,"$250,800",2020,294.7,2020_3m_open
Alex Noren,3M Open,"$250,800",2020,285.8,2020_3m_open
Tony Finau,3M Open,"$250,800",2020,299.6,2020_3m_open
Emiliano Grillo,3M Open,"$250,800",2020,293.1,2020_3m_open
Ryan Moore,3M Open,"$127,050",2020,281.3,2020_3m_open
Nick Watney,3M Open,"$127,050",2020,290.4,2020_3m_open
Matthew Wolff,3M Open,"$127,050",2020,295.8,2020_3m_open
Bo Hoag,3M Open,"$127,050",2020,287.8,2020_3m_open
Xinjun Zhang,3M Open,"$127,050",2020,288.0,2020_3m_open
Cameron Davis,3M Open,"$127,050",2020,294.4,2020_3m_open
Talor Gooch,3M Open,"$87,450",2020,280.5,2020_3m_open
Harris English,3M Open,"$87,450",2020,286.1,2020_3m_open
Sepp Straka,3M Open,"$87,450",2020,296.3,2020_3m_open
Doug Ghim,3M Open,"$87,450",2020,289.5,2020_3m_open
Dylan Frittelli,3M Open,"$87,450",2020,287.5,2020_3m_open
Henrik Norlander,3M Open,"$63,690",2020,285.1,2020_3m_open
Aaron Baddeley,3M Open,"$63,690",2020,279.9,2020_3m_open
Pat Perez,3M Open,"$63,690",2020,292.1,2020_3m_open
Danny Lee,3M Open,"$48,180",2020,295.6,2020_3m_open
Brice Garnett,3M Open,"$48,180",2020,284.2,2020_3m_open
Hank Lebioda,3M Open,"$48,180",2020,288.2,2020_3m_open
Michael Gligic,3M Open,"$48,180",2020,295.6,2020_3m_open
Tom Lewis,3M Open,"$34,577",2020,293.0,2020_3m_open
Patrick Rodgers,3M Open,"$34,577",2020,299.3,2020_3m_open
Sam Burns,3M Open,"$34,577",2020,301.5,2020_3m_open
Denny McCarthy,3M Open,"$34,577",2020,280.5,2020_3m_open
Jason Dufner,3M Open,"$34,577",2020,283.6,2020_3m_open
Kyle Stanley,3M Open,"$34,577",2020,286.4,2020_3m_open
Luke List,3M Open,"$34,577",2020,299.1,2020_3m_open
Rafa Cabrera Bello,3M Open,"$34,577",2020,288.2,2020_3m_open
Chris Kirk,3M Open,"$24,750",2020,285.5,2020_3m_open
Bronson Burgoon,3M Open,"$24,750",2020,289.2,2020_3m_open
Brian Harman,3M Open,"$24,750",2020,288.7,2020_3m_open
Adam Schenk,3M Open,"$24,750",2020,292.0,2020_3m_open
Chris Baker,3M Open,"$24,750",2020,286.9,2020_3m_open
Brandon Hagy,3M Open,"$17,980",2020,300.0,2020_3m_open
Michael Gellerman,3M Open,"$17,980",2020,280.2,2020_3m_open
Si Woo Kim,3M Open,"$17,980",2020,297.1,2020_3m_open
Tom Hoge,3M Open,"$17,980",2020,285.3,2020_3m_open
Patton Kizzire,3M Open,"$17,980",2020,291.6,2020_3m_open
Stewart Cink,3M Open,"$17,980",2020,290.2,2020_3m_open
Alex Cejka,3M Open,"$17,980",2020,279.6,2020_3m_open
Arjun Atwal,3M Open,"$15,686",2020,280.1,2020_3m_open
Robert Garrigus,3M Open,"$15,686",2020,287.5,2020_3m_open
Tim Wilkinson,3M Open,"$15,686",2020,277.5,2020_3m_open
Josh Teater,3M Open,"$15,312",2020,290.1,2020_3m_open
Austin Cook,3M Open,"$15,312",2020,288.0,2020_3m_open
Kramer Hickok,3M Open,"$14,982",2020,288.2,2020_3m_open
Bill Haas,3M Open,"$14,982",2020,292.4,2020_3m_open
John Merrick,3M Open,"$14,982",2020,282.7,2020_3m_open
K.J. Choi,3M Open,"$14,718",2020,274.9,2020_3m_open
Peter Uihlein,3M Open,"$14,520",2020,294.0,2020_3m_open
Scott Stallings,3M Open,"$14,520",2020,282.7,2020_3m_open
George McNeill,3M Open,"$14,322",2020,283.2,2020_3m_open
Bo Van Pelt,3M Open,"$14,190",2020,289.9,2020_3m_open
Kyoung-Hoon Lee,3M Open,"$14,058",2020,291.0,2020_3m_open
Tommy Gainey,3M Open,"$13,926",2020,283.8,2020_3m_open
Matt Every,3M Open,"$13,794",2020,284.4,2020_3m_open
Adam Scott,The Genesis Invitational,"$1,674,000",2020,300.9,2020_genesis_invitational
Sung Kang,The Genesis Invitational,"$703,700",2020,294.6,2020_genesis_invitational
Scott Brown,The Genesis Invitational,"$703,700",2020,281.6,2020_genesis_invitational
Matt Kuchar,The Genesis Invitational,"$703,700",2020,282.0,2020_genesis_invitational
Rory McIlroy,The Genesis Invitational,"$318,990",2020,305.2,2020_genesis_invitational
Hideki Matsuyama,The Genesis Invitational,"$318,990",2020,299.0,2020_genesis_invitational
Joel Dahmen,The Genesis Invitational,"$318,990",2020,290.1,2020_genesis_invitational
Max Homa,The Genesis Invitational,"$318,990",2020,294.6,2020_genesis_invitational
Bryson DeChambeau,The Genesis Invitational,"$318,990",2020,301.7,2020_genesis_invitational
Dustin Johnson,The Genesis Invitational,"$234,825",2020,303.7,2020_genesis_invitational
Chez Reavie,The Genesis Invitational,"$234,825",2020,280.3,2020_genesis_invitational
Talor Gooch,The Genesis Invitational,"$234,825",2020,293.4,2020_genesis_invitational
Harold Varner III,The Genesis Invitational,"$176,700",2020,293.5,2020_genesis_invitational
Vaughn Taylor,The Genesis Invitational,"$176,700",2020,281.7,2020_genesis_invitational
James Hahn,The Genesis Invitational,"$176,700",2020,287.9,2020_genesis_invitational
Kyoung-Hoon Lee,The Genesis Invitational,"$176,700",2020,290.6,2020_genesis_invitational
Russell Henley,The Genesis Invitational,"$127,875",2020,285.6,2020_genesis_invitational
Patrick Cantlay,The Genesis Invitational,"$127,875",2020,297.7,2020_genesis_invitational
Jon Rahm,The Genesis Invitational,"$127,875",2020,300.0,2020_genesis_invitational
Wyndham Clark,The Genesis Invitational,"$127,875",2020,301.5,2020_genesis_invitational
Rafa Cabrera Bello,The Genesis Invitational,"$127,875",2020,289.1,2020_genesis_invitational
Scott Piercy,The Genesis Invitational,"$127,875",2020,289.5,2020_genesis_invitational
Brian Stuard,The Genesis Invitational,"$89,745",2020,277.1,2020_genesis_invitational
Xander Schauffele,The Genesis Invitational,"$89,745",2020,300.8,2020_genesis_invitational
Sam Burns,The Genesis Invitational,"$89,745",2020,303.5,2020_genesis_invitational
Collin Morikawa,The Genesis Invitational,"$70,680",2020,286.6,2020_genesis_invitational
Sebastián Muñoz,The Genesis Invitational,"$70,680",2020,291.9,2020_genesis_invitational
Carlos Ortiz,The Genesis Invitational,"$70,680",2020,291.2,2020_genesis_invitational
Adam Hadwin,The Genesis Invitational,"$70,680",2020,284.9,2020_genesis_invitational
